2026-05-13T00:00:00.018819 | I | worker_oc_service_get_impl.cpp:130 | 6.62.223.31 | 112:403 | d6eef87a-2743-4fff-90e9-efa961b10a8b | model_kvcache_predictor |  [Get] Receive, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, serverApiReadCost: 0.010ms, inflightRemoteGet: 0
2026-05-13T00:00:00.018852 | I | worker_oc_service_get_impl.cpp:165 | 6.62.223.31 | 112:92460 | d6eef87a-2743-4fff-90e9-efa961b10a8b | model_kvcache_predictor |  [Get] Receive, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, objects: bda2a318-b8b3-4525-9a4c-3b8fedd3d112, threadPool: idle(11),total(12),wait(0), elapsed: 0.000ms, remainingTime: 16.000ms
2026-05-13T00:00:00.018877 | I | worker_oc_service_get_impl.cpp:1752 | 6.62.223.31 | 112:92460 | d6eef87a-2743-4fff-90e9-efa961b10a8b | model_kvcache_predictor |  Query metadata from master: 6.62.222.253:31501, objects: bda2a318-b8b3-4525-9a4c-3b8fedd3d112, request id: ac867211-6a68-4df2-9ad2-ca3ccc95ab4c, remainingTime:14ms
2026-05-13T00:00:00.019176 | I | worker_oc_service_get_impl.cpp:780 | 6.62.223.31 | 112:92460 | d6eef87a-2743-4fff-90e9-efa961b10a8b | model_kvcache_predictor |  [Get] Master query done, targets: 1, hits: 1, cost: 0.310ms
2026-05-13T00:00:00.019201 | I | worker_oc_service_batch_get_impl.cpp:607 | 6.62.223.31 | 112:92460 | d6eef87a-2743-4fff-90e9-efa961b10a8b | model_kvcache_predictor |  [Get] Remote pull, count: 1, path: UB, src=6.62.223.31:31501, dst=6.62.223.35:31501
2026-05-13T00:00:00.019797 | I | worker_oc_service_get_impl.cpp:194 | 6.62.223.31 | 112:92460 | d6eef87a-2743-4fff-90e9-efa961b10a8b | model_kvcache_predictor |  [Get] Done, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, objects: 1, transferPath: UB, totalCost: exceed 3ms: {}
2026-05-13T00:00:00.026429 | I | urma_manager.cpp:1056 | 6.62.223.31 | 112:172 |  | model_kvcache_predictor |  [URMA_ELAPSED_THREAD_SHED]: urma_poll_jfc thread wake up after nanosleep(1us) cost 113us, cpuid: 26, suggest: check OS scheduling overhead
2026-05-13T00:00:00.027597 | I | master_worker_oc_service_impl.cpp:194 | 6.62.223.31 | 112:418 | 747a2c83-9af1-4e8c-b142-46ec8f57283b | model_kvcache_predictor |  Processing DeleteNotification request with async:0, objectKeys: 1397eaa2-1297-43ad-9859-6b3aa2287380
2026-05-13T00:00:00.053980 | I | worker_oc_service_get_impl.cpp:130 | 6.62.223.31 | 112:405 | 979ee5b5-bbd4-46de-8b99-6457f19ec283 | model_kvcache_predictor |  [Get] Receive, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, serverApiReadCost: 0.010ms, inflightRemoteGet: 0
2026-05-13T00:00:00.054014 | I | worker_oc_service_get_impl.cpp:165 | 6.62.223.31 | 112:92791 | 979ee5b5-bbd4-46de-8b99-6457f19ec283 | model_kvcache_predictor |  [Get] Receive, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, objects: 22bab0e4-dee1-43bc-858b-3b9103089cf1, threadPool: idle(11),total(12),wait(0), elapsed: 0.000ms, remainingTime: 16.000ms
2026-05-13T00:00:00.054045 | I | worker_oc_service_get_impl.cpp:1752 | 6.62.223.31 | 112:92791 | 979ee5b5-bbd4-46de-8b99-6457f19ec283 | model_kvcache_predictor |  Query metadata from master: 6.62.222.248:31501, objects: 22bab0e4-dee1-43bc-858b-3b9103089cf1, request id: 178c911d-811c-4f26-8927-8fca497a685c, remainingTime:14ms
2026-05-13T00:00:00.054343 | I | worker_oc_service_get_impl.cpp:780 | 6.62.223.31 | 112:92791 | 979ee5b5-bbd4-46de-8b99-6457f19ec283 | model_kvcache_predictor |  [Get] Master query done, targets: 1, hits: 1, cost: 0.311ms
2026-05-13T00:00:00.054376 | I | worker_oc_service_batch_get_impl.cpp:607 | 6.62.223.31 | 112:92791 | 979ee5b5-bbd4-46de-8b99-6457f19ec283 | model_kvcache_predictor |  [Get] Remote pull, count: 1, path: UB, src=6.62.223.31:31501, dst=6.62.223.13:31501
2026-05-13T00:00:00.054930 | I | worker_oc_service_get_impl.cpp:194 | 6.62.223.31 | 112:92791 | 979ee5b5-bbd4-46de-8b99-6457f19ec283 | model_kvcache_predictor |  [Get] Done, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, objects: 1, transferPath: UB, totalCost: exceed 3ms: {}
2026-05-13T00:00:00.058318 | I | worker_oc_service_create_impl.cpp:56 | 6.62.223.31 | 112:398 | 5fd2e0f5-e761-47bc-93b4-4377ae2dd9cd | model_kvcache_predictor |  Receive create meta request, clientId: 15d6263b-515c-469e-ab96-b99dc40db78f, objectKey: 94c3d3b3-8648-4fc4-9588-3ca53884a552, size: 8395125
2026-05-13T00:00:00.058351 | I | worker_oc_service_create_impl.cpp:79 | 6.62.223.31 | 112:398 | 5fd2e0f5-e761-47bc-93b4-4377ae2dd9cd | model_kvcache_predictor |  [Client 15d6263b-515c-469e-ab96-b99dc40db78f] [ObjectKey 94c3d3b3-8648-4fc4-9588-3ca53884a552] The operations of worker Create exceed 3ms: {}
2026-05-13T00:00:00.059445 | I | urma_manager.cpp:1056 | 6.62.223.31 | 112:172 |  | model_kvcache_predictor |  [URMA_ELAPSED_THREAD_SHED]: urma_poll_jfc thread wake up after nanosleep(1us) cost 131.88us, cpuid: 18, suggest: check OS scheduling overhead
