# === kvcache_conn_fault_009 ===
2026-05-06T13:25:28.429016 | I | worker_oc_service_get_impl.cpp:130 | kvc-worker-pod-xyz | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Worker started on port 31402
2026-05-06T13:25:29.123456 | I | worker_oc_service_get_impl.cpp:200 | kvc-worker-pod-xyz | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Metrics Summary, version=v0, cycle=100, interval=10000ms
2026-05-06T13:26:04.000001 | I | worker_oc_service_get_impl.cpp:130 | kvc-worker-pod-xyz | 11:291 | e18c3204-0009-0009-0009-000000000009 | tenant1 | [RPC_RECV_TIMEOUT] req_id=67890 timeout=5000ms

# === kvcache_conn_fault_010 ===
2026-05-06T13:25:28.429016 | I | worker_oc_service_get_impl.cpp:130 | kvc-worker-pod-xyz | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Worker started on port 31402
2026-05-06T13:25:29.123456 | I | worker_oc_service_get_impl.cpp:200 | kvc-worker-pod-xyz | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Metrics Summary, version=v0, cycle=100, interval=10000ms
2026-05-06T13:26:05.000001 | I | zmq_gateway.cpp:100 | kvc-worker-pod-xyz | 11:291 | e18c3204-0010-0010-0010-000000000010 | tenant1 | zmq_gateway_recreate_total=+3
2026-05-06T13:26:05.000002 | I | zmq_gateway.cpp:110 | kvc-worker-pod-xyz | 11:292 | e18c3204-0010-0011-0011-000000000011 | tenant1 | zmq_event_disconnect_total=+1

# === kvcache_conn_fault_011 ===
2026-05-06T13:25:28.429016 | I | worker_oc_service_get_impl.cpp:130 | kvc-worker-pod-xyz | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Worker started on port 31402
2026-05-06T13:25:29.123456 | I | worker_oc_service_get_impl.cpp:200 | kvc-worker-pod-xyz | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Metrics Summary, version=v0, cycle=100, interval=10000ms
2026-05-06T13:26:06.000001 | I | etcd_client.cpp:80 | kvc-worker-pod-xyz | 11:291 | e18c3204-0011-0011-0011-000000000011 | tenant1 | etcd is timeout endpoint=http://etcd-0:2379

# === kvcache_conn_fault_012 ===
